datasets/bbc/bbc_parsed_2/politics\290.txt 2211 
datasets/bbc/bbc_parsed_2/entertainment\253.txt 1814 
datasets/bbc/bbc_parsed_2/politics\380.txt 1680 
datasets/bbc/bbc_parsed_2/tech\401.txt 1485 
datasets/bbc/bbc_parsed_2/politics\293.txt 1258 
datasets/bbc/bbc_parsed_2/entertainment\353.txt 1253 
datasets/bbc/bbc_parsed_2/entertainment\256.txt 1213 
datasets/bbc/bbc_parsed_2/sport\371.txt 911 
datasets/bbc/bbc_parsed_2/tech\379.txt 836 
datasets/bbc/bbc_parsed_2/sport\491.txt 788 
datasets/bbc/bbc_parsed_2/tech\188.txt 697 
datasets/bbc/bbc_parsed_2/entertainment\131.txt 679 
datasets/bbc/bbc_parsed_2/tech\009.txt 678 
datasets/bbc/bbc_parsed_2/sport\121.txt 656 
datasets/bbc/bbc_parsed_2/sport\112.txt 655 
datasets/bbc/bbc_parsed_2/tech\396.txt 608 
datasets/bbc/bbc_parsed_2/entertainment\368.txt 649 
datasets/bbc/bbc_parsed_2/sport\118.txt 567 
datasets/bbc/bbc_parsed_2/tech\399.txt 536 
datasets/bbc/bbc_parsed_2/politics\250.txt 560 
datasets/bbc/bbc_parsed_2/entertainment\314.txt 562 
datasets/bbc/bbc_parsed_2/tech\301.txt 596 
datasets/bbc/bbc_parsed_2/sport\476.txt 556 
datasets/bbc/bbc_parsed_2/tech\358.txt 526 
datasets/bbc/bbc_parsed_2/tech\110.txt 552 
datasets/bbc/bbc_parsed_2/politics\406.txt 527 
datasets/bbc/bbc_parsed_2/tech\032.txt 518 
datasets/bbc/bbc_parsed_2/tech\154.txt 498 
datasets/bbc/bbc_parsed_2/tech\335.txt 512 
datasets/bbc/bbc_parsed_2/business\353.txt 507 
datasets/bbc/bbc_parsed_2/tech\072.txt 495 
datasets/bbc/bbc_parsed_2/politics\111.txt 512 
datasets/bbc/bbc_parsed_2/business\287.txt 494 
datasets/bbc/bbc_parsed_2/business\277.txt 498 
datasets/bbc/bbc_parsed_2/tech\137.txt 475 
datasets/bbc/bbc_parsed_2/tech\364.txt 496 
datasets/bbc/bbc_parsed_2/tech\229.txt 461 
datasets/bbc/bbc_parsed_2/business\146.txt 486 
datasets/bbc/bbc_parsed_2/tech\311.txt 503 
datasets/bbc/bbc_parsed_2/politics\353.txt 487 
datasets/bbc/bbc_parsed_2/tech\031.txt 475 
datasets/bbc/bbc_parsed_2/business\245.txt 463 
datasets/bbc/bbc_parsed_2/tech\354.txt 469 
datasets/bbc/bbc_parsed_2/tech\135.txt 465 
datasets/bbc/bbc_parsed_2/tech\174.txt 498 
datasets/bbc/bbc_parsed_2/business\330.txt 459 
datasets/bbc/bbc_parsed_2/tech\095.txt 486 
datasets/bbc/bbc_parsed_2/tech\161.txt 441 
datasets/bbc/bbc_parsed_2/business\243.txt 458 
datasets/bbc/bbc_parsed_2/sport\066.txt 470 
datasets/bbc/bbc_parsed_2/tech\391.txt 459 
datasets/bbc/bbc_parsed_2/tech\286.txt 459 
datasets/bbc/bbc_parsed_2/tech\349.txt 466 
datasets/bbc/bbc_parsed_2/tech\164.txt 467 
datasets/bbc/bbc_parsed_2/tech\094.txt 483 
datasets/bbc/bbc_parsed_2/tech\313.txt 483 
datasets/bbc/bbc_parsed_2/tech\155.txt 444 
datasets/bbc/bbc_parsed_2/tech\294.txt 444 
datasets/bbc/bbc_parsed_2/tech\198.txt 469 
datasets/bbc/bbc_parsed_2/sport\058.txt 467 
datasets/bbc/bbc_parsed_2/sport\069.txt 471 
datasets/bbc/bbc_parsed_2/tech\005.txt 425 
datasets/bbc/bbc_parsed_2/tech\173.txt 423 
datasets/bbc/bbc_parsed_2/business\284.txt 438 
datasets/bbc/bbc_parsed_2/tech\288.txt 435 
datasets/bbc/bbc_parsed_2/business\487.txt 438 
datasets/bbc/bbc_parsed_2/tech\394.txt 433 
datasets/bbc/bbc_parsed_2/business\314.txt 436 
datasets/bbc/bbc_parsed_2/tech\395.txt 439 
